CFOP,TMCFTIT,TMCFDSC,TMCLOE
1121,"Compra para comercialização, em venda à ordem, já recebida do vendedor remetente","Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.",TRIB
1122,Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente,"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.",TRIB
1124,Industrialização efetuada por outra empresa,"Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industria",TRIB
1125,Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria,"Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo",TRIB
1126,Compra para utilização na prestação de serviço,Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços.,TRIB
1150,"TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS",,TRIB
1151,Transferência para industrialização,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas em processo de industrialização.",TRIB
1152,Transf INTERNA p/ comerc,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.",TRIB
1153,Transferência de energia elétrica para distribuição,"Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.",4003 
1154,Transferência para utilização na prestação de serviço,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.",TRIB
1200,"DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA, DE TERCEIROS OU ANULAÇÕES DE VALORES",,TRIB
1201,Devolução de venda de produção do estabelecimento,"Classificam-se neste código as devoluções de vendas de produtos industrializados pelo estabelecimento, cujas saídas tenham sido classificadas como",4015 
1202,Devolução de venda de mercadoria adquirida ou recebida de terceiros,"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como",4015 
1203,"Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Classificam-se neste código as devoluções de vendas de produtos industrializados pelo estabelecimento, cujas saídas foram classificadas no código",4015 
1204,"Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código",4015 
1205,Anulação de valor relativo à prestação de serviço de comunicação,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.",4003 
1206,Anulação de valor relativo à prestação de serviço de transporte,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.",4003 
1207,Anulação de valor relativo à venda de energia elétrica,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.",4003 
1208,"Devolução de produção do estabelecimento, remetida em transferência","Classificam-se neste código as devoluções de produtos industrializados pelo estabelecimento, transferidos para outros estabelecimentos da mesma empresa.",4015 
1209,Devol de transf INTERNA,"Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.",4015 
1250,COMPRAS DE ENERGIA ELÉTRICA,,TRIB
1251,Compra de energia elétrica para distribuição ou comercialização,Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.,4003 
1252,Compra de energia elétrica por estabelecimento industrial,Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.,4003 
1253,Compra de energia elétrica por estabelecimento comercial,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.,4003 
1254,Compra de energia elétrica por estabelecimento prestador de serviço de transporte,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.,4003 
1255,Compra de energia elétrica por estabelecimento prestador de serviço de comunicação,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.,4003 
1256,Compra de energia elétrica por estabelecimento de produtor rural,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.,4003 
1257,Compra de energia elétrica para consumo por demanda contratada,"Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.",4003 
1300,AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO,,TRIB
1301,Aquisição de serviço de comunicação para execução de serviço da mesma natureza,Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.,4003 
1302,Aquisição de serviço de comunicação por estabelecimento industrial,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.,4003 
1303,Aquisição de serviço de comunicação por estabelecimento comercial,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.,4003 
1304,Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento prestador de serviço de transporte.,4003 
1305,Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.,4003 
1306,Aquisição de serviço de comunicação por estabelecimento de produtor rural,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.,4003 
1350,AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE,,TRIB
1351,Aquisição de serviço de transporte para execução de serviço da mesma natureza,Classificam-se neste código as aquisições de serviços de transporte utilizados nas prestações de serviços da mesma natureza.,4003 
1352,Aquisição de serviço de transporte por estabelecimento industrial,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial de cooperativa.,4003 
1353,Aquisição de serviço de transporte,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial de cooperativa.,4003 
1354,Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento prestador de serviços de comunicação.,4003 
1355,Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.,4003 
1356,Aquisição de serviço de transporte por estabelecimento de produtor rural,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de produtor rural.,4003 
1400,ENTRADAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA,,TRIB
1401,Compra para industrialização em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária. Também serão classificadas neste código as compras por estabe",TRIB
1403,Compra prod ST - não gera créd,"Classificam-se neste código as compras de mercadorias a serem comercializadas, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária. Também serão classificadas neste código as compras de mercadorias sujeitas ao regime de",TRIB
1406,Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.",TRIB
1407,Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.",TRIB
1408,Transferência para industrialização em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem industrializadas no estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.",TRIB
1409,Transf p/ comerc de prod ST - não gera crédito,"Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de operações sujeitas ao regime de substituição tributária.",TRIB
1410,Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária,"Classificam-se neste código as devoluções de produtos industrializados e vendidos pelo estabelecimento, cujas saídas tenham sido classificadas como",4015 
1411,Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas tenham sido classificadas como",4015 
1414,"Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária","Classificam-se neste código as entradas, em retorno, de produtos industrializados pelo estabelecimento, remetidos para vendas fora do estabelecimento, inclusive por meio de veículos, em operações com produtos sujeitos ao regime de substituição tributária,",4015 
1415,"Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária","Classificam-se neste código as entradas, em retorno, de mercadorias adquiridas ou recebidas de terceiros remetidas para vendas fora do estabelecimento, inclusive por meio de veículos, em operações com mercadorias sujeitas ao regime de substituição tributá",4015 
1450,SISTEMAS DE INTEGRAÇÃO,,TRIB
1451,Retorno de animal do estabelecimento produtor,Classificam-se neste código as entradas referentes ao retorno de animais criados pelo produtor no sistema integrado.,4015 
1452,Retorno de insumo não utilizado na produção,Classificam-se neste código o retorno de insumos não utilizados pelo produtor na criação de animais pelo sistema integrado.,4015 
1500,ENTRADAS DE MERCADORIAS REMETIDAS COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES,,TRIB
1501,Entrada INTERNA c/ fim exportação - não gera crédito,"Classificam-se neste código as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim específico de exportação.",TRIB
1503,"Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento","Classificam-se neste código as devoluções de produtos industrializados pelo estabelecimento, remetidos a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido c",4015 
1504,Entrada devolução fim exportação - não gera crédito,"Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros remetidas a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido",4015 
1550,OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO,,TRIB
1551,Compra de bem para o ativo imobilizado,Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.,TRIB
1552,Transferência de bem do ativo imobilizado,Classificam-se neste código as entradas de bens destinados ao ativo imobilizado recebidos em transferência de outro estabelecimento da mesma empresa.,TRIB
1553,Devolução de venda de bem do ativo imobilizado,"Classificam-se neste código as devoluções de vendas de bens do ativo imobilizado, cujas saídas tenham sido classificadas no código",4015 
1554,Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento,"Classificam-se neste código as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas saídas tenham sido classificadas no código",4015 
1555,"Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento","Classificam-se neste código as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.",4004 
1556,Compra uso ou consumo - não gera crédito,Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.,TRIB
1557,Transferência de material para uso ou consumo,Classificam-se neste código as entradas de materiais para uso ou consumo recebidos em transferência de outro estabelecimento da mesma empresa.,TRIB
1600,CRÉDITOS E RESSARCIMENTOS DE ICMS,,TRIB
1601,"Recebimento, por transferência, de crédito de ICMS","Classificam-se neste código os lançamentos destinados ao registro de créditos de ICMS, recebidos por transferência de outras empresas.",4003 
1602,"Recebimento, por transferência, de saldo credor de ICMS de outro estabelecimento da mesma empresa, para compensação de saldo devedor de ICMS","Classificam-se neste código os lançamentos destinados ao registro da transferência de saldos credores de ICMS recebidos de outros estabelecimentos da mesma empresa, destinados à compensação do saldo devedor do estabelecimento.",4003 
1603,Ressarcimento de ICMS retido por substituição tributária,"Classificam-se neste código os lançamentos destinados ao registro de ressarcimento de ICMS retido por substituição tributária a contribuinte substituído, efetuado pelo contribuinte substituto, ou, ainda, quando o ressarcimento for apropriado pelo próprio",4003 
1900,OUTRAS ENTRADAS DE MERCADORIAS OU AQUISIÇÕES DE SERVIÇOS,,TRIB
1901,Entrada para industrialização por encomenda,Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.,TRIB
1902,Retorno de mercadoria remetida para industrialização por encomenda,"Classificam-se neste código o retorno dos insumos remetidos para industrialização por encomenda, incorporados ao produto final pelo estabelecimento industrializador.",TRIB
1903,Entrada de mercadoria remetida para industrialização e não aplicada no referido processo,Classificam-se neste código as entradas em devolução de insumos remetidos para industrialização e não aplicados no referido processo.,4015 
1904,Retorno de remessa para venda fora do estabelecimento,"Classificam-se neste código as entradas em retorno de mercadorias remetidas para venda fora do estabelecimento, inclusive por meio de veículos, e não comercializadas.",4015 
1905,Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral,Classificam-se neste código as entradas de mercadorias recebidas para depósito em depósito fechado ou armazém geral.,TRIB
1906,Retorno de mercadoria remetida para depósito fechado ou armazém geral,Classificam-se neste código as entradas em retorno de mercadorias remetidas para depósito em depósito fechado ou armazém geral.,4015 
1907,Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral,"Classificam-se neste código as entradas em retorno simbólico de mercadorias remetidas para depósito em depósito fechado ou armazém geral, quando as mercadorias depositadas tenham sido objeto de saída a qualquer título e que não tenham retornado ao estabel",4015 
1908,Entrada de bem por conta de contrato de comodato,Classificam-se neste código as entradas de bens recebidos em cumprimento de contrato de comodato.,4004 
1909,Retorno de bem remetido por conta de contrato de comodato,Classificam-se neste código as entradas de bens recebidos em devolução após cumprido o contrato de comodato.,4015 
1910,"Entrada de bonificação, doação ou brinde","Classificam-se neste código as entradas de mercadorias recebidas a título de bonificação, doação ou brinde.",TRIB
1911,Entrada de amostra grátis,Classificam-se neste código as entradas de mercadorias recebidas a título de amostra grátis.,4003 
1912,Entrada de mercadoria ou bem recebido para demonstração,Classificam-se neste código as entradas de mercadorias ou bens recebidos para demonstração.,TRIB
1913,Retorno de mercadoria ou bem remetido para demonstração,Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para demonstração.,4015 
1914,Retorno de mercadoria ou bem remetido para exposição ou feira,Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para exposição ou feira.,4015 
1915,Entrada de mercadoria ou bem recebido para conserto ou reparo,Classificam-se neste código as entradas de mercadorias ou bens recebidos para conserto ou reparo.,4012 
1916,Retorno de mercadoria ou bem remetido para conserto ou reparo,Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para conserto ou reparo.,4013 
1917,Entrada de mercadoria recebida em consignação mercantil ou industrial,Classificam-se neste código as entradas de mercadorias recebidas a título de consignação mercantil ou industrial.,TRIB
1918,Devolução de mercadoria remetida em consignação mercantil ou industrial,Classificam-se neste código as entradas por devolução de mercadorias remetidas anteriormente a título de consignação mercantil ou industrial.,4015 
1919,"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial","Classificam-se neste código as entradas por devolução simbólica de mercadorias vendidas ou utilizadas em processo industrial, remetidas anteriormente a título de consignação mercantil ou industrial.",4015 
1920,Entrada de vasilhame ou sacaria,Classificam-se neste código as entradas de vasilhame ou sacaria.,4003 
1921,Retorno de vasilhame ou sacaria,Classificam-se neste código as entradas em retorno de vasilhame ou sacaria.,4003 
1922,Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro,Classificam-se neste código os registros efetuados a título de simples faturamento decorrente de compra para recebimento futuro.,4003 
1923,"Entrada de mercadoria recebida do vendedor remetente, em venda à ordem","Classificam-se neste código as entradas de mercadorias recebidas do vendedor remetente, em vendas à ordem, cuja compra do adquirente originário, foi classificada nos códigos",TRIB
1924,"Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente","Classificam-se neste código as entradas de insumos recebidos para serem industrializados por conta e ordem do adquirente, nas hipóteses em que os insumos não tenham transitado pelo estabelecimento do adquirente dos mesmos.",TRIB
1925,"Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente","Classificam-se neste código o retorno dos insumos remetidos por conta e ordem do adquirente, para industrialização e incorporados ao produto final pelo estabelecimento industrializador, nas hipóteses em que os insumos não tenham transitado pelo estabeleci",4003 
1926,Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação,Classificam-se neste código os registros efetuados a título de reclassificação decorrente de formação de kit de mercadorias ou de sua desagregação.,4003 
1949,Outras entradas ,Classificam-se neste código as outras entradas de mercadorias ou prestações de serviços que não tenham sido especificadas nos códigos anteriores.,TRIB
2000,ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DE OUTROS ESTADOS,"Classificam-se, neste grupo, as operações ou prestações em que o estabelecimento remetente esteja localizado em unidade da Federação diversa daquela do destinatário",TRIB
2100,"COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS",,TRIB
2101,Compra para industrialização,Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização. Também serão classificadas neste código as entradas de mercadorias em estabelecimento industrial de cooperativa recebidas de seus cooperados ou de es,TRIB
2102,COMPRA P/ COMER DE OUTRA UF,Classificam-se neste código as compras de mercadorias a serem comercializadas. Também serão classificadas neste código as entradas de mercadorias em estabelecimento comercial de cooperativa recebidas de seus cooperados ou de estabelecimento de outra coope,TRIB
2111,Compra para industrialização de mercadoria recebida anteriormente em consignação industrial,"Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização, recebidas anteriormente a título de consignação industrial.",TRIB
2113,"Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil",Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil.,TRIB
2116,Compra para industrialização originada de encomenda para recebimento futuro,"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código",TRIB
2117,Compra para comercialização originada de encomenda para recebimento futuro,"Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código",TRIB
2118,"Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem","Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja",TRIB
2120,"Compra para industrialização, em venda à ordem, já recebida do vendedor remetente","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.",TRIB
2121,"Compra para comercialização, em venda à ordem, já recebida do vendedor remetente","Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.",TRIB
2122,Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente,"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.",TRIB
2124,Industrialização efetuada por outra empresa,"Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industria",TRIB
2125,Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria,"Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo",TRIB
2126,Compra para utilização na prestação de serviço,Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços.,TRIB
2150,"TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS",,TRIB
2151,Transferência para industrialização,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas em processo de industrialização.",TRIB
2152,Transf DE OUTRA UF p/ comerc ,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.",TRIB
2153,Transferência de energia elétrica para distribuição,"Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.",4003 
2154,Transferência para utilização na prestação de serviço,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.",TRIB
2200,"DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA, DE TERCEIROS OU ANULAÇÕES DE VALORES",,TRIB
2201,Devolução de venda de produção do estabelecimento,"Classificam-se neste código as devoluções de vendas de produtos industrializados pelo estabelecimento, cujas saídas tenham sido classificadas como",4015 
2202,Devolução de venda de mercadoria adquirida ou recebida de terceiros,"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como",4015 
2203,"Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Classificam-se neste código as devoluções de vendas de produtos industrializados pelo estabelecimento, cujas saídas foram classificadas no código",4015 
2204,"Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código",4015 
2205,Anulação de valor relativo à prestação de serviço de comunicação,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.",4003 
2206,Anulação de valor relativo à prestação de serviço de transporte,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.",4003 
2207,Anulação de valor relativo à venda de energia elétrica,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.",4003 
2208,"Devolução de produção do estabelecimento, remetida em transferência","Classificam-se neste código as devoluções de produtos industrializados pelo estabelecimento, transferidos para outros estabelecimentos da mesma empresa.",4015 
2209,Devol de transf DE OUTRA UF,"Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.",4015 
2250,COMPRAS DE ENERGIA ELÉTRICA,,TRIB
2251,Compra de energia elétrica para distribuição ou comercialização,Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.,4003 
2252,Compra de energia elétrica por estabelecimento industrial,Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.,4003 
2253,Compra de energia elétrica por estabelecimento comercial,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.,4003 
2254,Compra de energia elétrica por estabelecimento prestador de serviço de transporte,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.,4003 
2255,Compra de energia elétrica por estabelecimento prestador de serviço de comunicação,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.,4003 
2256,Compra de energia elétrica por estabelecimento de produtor rural,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.,4003 
2257,Compra de energia elétrica para consumo por demanda contratada,"Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.",4003 
2300,AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO,,TRIB
2301,Aquisição de serviço de comunicação para execução de serviço da mesma natureza,Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.,4003 
